"Tipo Doc.;""N.º Doc."";""Refª Cliente"";""Data"";""Cliente"";""Contribuinte"";""País"";""Zona geográfica"";""Método de Pagamento"";""Valor Pgto."";""Comissão Pgto."";""Cód. Artigo"";""Código EAN"";""Artigos"";""Qtd."";""Uni."";""Preço unitário sem IVA"";""Total Artigo"";""Total Ilíq."";""Desc."";""Total Liq."";""Impostos"";""Desc. Financeiro"";""Total"";""Acumulado"";""Local de Descarga"";""Observações""",,,,,,,,,,,,
"Fatura;""FAT/135"";"""";""2023-01-01"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""278","04"";""0","00"";""278","04"";""63","95"";""0","00"";""341","99"";""341","99"";"""";""""",,,,,
"Fatura;""FAT/135"";"""";""2023-01-01"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Maria Clara)"";""1","000"";""Uni."";""278","04000"";""278","04"";""278","04"";""0","00"";""278","04"";""63","95"";""0","00"";""341","99"";""341","99""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/136"";"""";""2023-01-01"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""847","40"";""0","00"";""847","40"";""194","90"";""0","00"";""1042","30"";""1384","29"";"""";""""",,,,,
"Fatura;""FAT/136"";"""";""2023-01-01"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0071/TJ/22 (Tufayeal)"";""1","000"";""Uni."";""847","40000"";""847","40"";""847","40"";""0","00"";""847","40"";""194","90"";""0","00"";""1042","30"";""1042","30""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/137"";"""";""2023-01-01"";""UBI - Universidade da Beira Interior"";""502083514"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""4300","00"";""0","00"";""4300","00"";""989","00"";""0","00"";""5289","00"";""6673","29"";"""";""""",,,,,
"Fatura;""FAT/137"";"""";""2023-01-01"";""UBI - Universidade da Beira Interior"";""502083514"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Projecto HIIT"";""1","000"";""Uni."";""4300","00000"";""4300","00"";""4300","00"";""0","00"";""4300","00"";""989","00"";""0","00"";""5289","00"";""5289","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/138"";"""";""2023-01-02"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""7165","29"";"""";""""",,,,,
"Fatura;""FAT/138"";"""";""2023-01-02"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão DEZEMBRO"";""1","000"";""Uni."";""400","00000"";""400","00"";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""492","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/139"";"""";""2023-01-02"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""7657","29"";"""";""""",,,,,
"Fatura;""FAT/139"";"""";""2023-01-02"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão DEZEMBRO"";""1","000"";""Uni."";""400","00000"";""400","00"";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""492","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/140"";"""";""2023-01-02"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""275","00"";""0","00"";""275","00"";""63","25"";""0","00"";""338","25"";""7995","54"";"""";""""",,,,,
"Fatura;""FAT/140"";"""";""2023-01-02"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""IEFP gestão processos - 1º trimestre 2023"";""1","000"";""Uni."";""275","00000"";""275","00"";""275","00"";""0","00"";""275","00"";""63","25"";""0","00"";""338","25"";""338","25""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/141"";"""";""2023-01-02"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""8180","04"";"""";""""",,,,,
"Fatura;""FAT/141"";"""";""2023-01-02"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow DEZEMBRO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/142"";"""";""2023-01-02"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""180","00"";""0","00"";""180","00"";""41","40"";""0","00"";""221","40"";""8401","44"";"""";""""",,,,,
"Fatura;""FAT/142"";"""";""2023-01-02"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio DEZEMBRO"";""9","000"";""Uni."";""20","00000"";""180","00"";""180","00"";""0","00"";""180","00"";""41","40"";""0","00"";""221","40"";""221","40""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/143"";"""";""2023-01-02"";""EDUARDO ESTEVAM LDA"";""516806211"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""735","79"";""0","00"";""735","79"";""169","23"";""0","00"";""905","02"";""9306","46"";"""";""""",,,,,
"Fatura;""FAT/143"";"""";""2023-01-02"";""EDUARDO ESTEVAM LDA"";""516806211"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Estágio - processo nº 0431/TE/22 (Mafalda)"";""1","000"";""Uni."";""735","79000"";""735","79"";""735","79"";""0","00"";""735","79"";""169","23"";""0","00"";""905","02"";""905","02""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/144"";"""";""2023-01-03"";""Lucilia Felix"";""206200064"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""46","00"";""0","00"";""46","00"";""10","58"";""0","00"";""56","58"";""9363","04"";"""";""""",,,,,
"Fatura;""FAT/144"";"""";""2023-01-03"";""Lucilia Felix"";""206200064"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""46","00000"";""46","00"";""46","00"";""0","00"";""46","00"";""10","58"";""0","00"";""56","58"";""56","58""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/145"";"""";""2023-01-03"";""MAJOR TWINS - INTELLIGENT MARKETING FOR HOTELS",UNIPESSOAL,"LDA"";""509579469"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""40","00"";""0","00"";""40","00"";""9","20"";""0","00"";""49","20"";""9412","24"";"""";""""",,,
"Fatura;""FAT/145"";"""";""2023-01-03"";""MAJOR TWINS - INTELLIGENT MARKETING FOR HOTELS",UNIPESSOAL,"LDA"";""509579469"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""40","00000"";""40","00"";""40","00"";""0","00"";""40","00"";""9","20"";""0","00"";""49","20"";""49","20"""
 ,,,,,,,,,,,,
"Fatura;""FAT/146"";"""";""2023-01-03"";""Wu & Xia Lda"";""514023813"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""262","00"";""0","00"";""262","00"";""60","26"";""0","00"";""322","26"";""9734","50"";"""";""""",,,,,
"Fatura;""FAT/146"";"""";""2023-01-03"";""Wu & Xia Lda"";""514023813"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""262","00000"";""262","00"";""262","00"";""0","00"";""262","00"";""60","26"";""0","00"";""322","26"";""322","26""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/147"";"""";""2023-01-03"";""LUIS MANUEL MARTINS DA LUZ"";""140072934"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""30","00"";""0","00"";""30","00"";""6","90"";""0","00"";""36","90"";""9771","40"";"""";""""",,,,,
"Fatura;""FAT/147"";"""";""2023-01-03"";""LUIS MANUEL MARTINS DA LUZ"";""140072934"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""30","00000"";""30","00"";""30","00"";""0","00"";""30","00"";""6","90"";""0","00"";""36","90"";""36","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/148"";"""";""2023-01-03"";""MOMENTOS PROPÍCIOS","LDA"";""513160965"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""45","00"";""0","00"";""45","00"";""10","35"";""0","00"";""55","35"";""9826","75"";"""";""""",,,,
"Fatura;""FAT/148"";"""";""2023-01-03"";""MOMENTOS PROPÍCIOS","LDA"";""513160965"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""45","00000"";""45","00"";""45","00"";""0","00"";""45","00"";""10","35"";""0","00"";""55","35"";""55","35""",
 ,,,,,,,,,,,,
"Fatura;""FAT/149"";"""";""2023-01-03"";""Fernando Leboucher Tavares Tomás"";""205566510"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""95","00"";""0","00"";""95","00"";""21","85"";""0","00"";""116","85"";""9943","60"";"""";""""",,,,,
